id_documento,tipo_documento,descricao,data_recebimento,responsavel,status,local_arquivo
11001,Boleto,Processo Interno,2026-01-03,Camila Oliveira Santos,Arquivado,Compras
11002,Nota Fiscal,Processo Interno,2026-01-05,Gisele Moraes,Pendente,Financeiro
11003,Boleto,Compra Administrativa,2026-01-07,Diego Fernandes,Pendente,Rh
11004,Nota Fiscal,Documento Cliente,2026-01-09,Giovana Lopes,Arquivado,Compras
11005,Boleto,Documento Cliente,2026-01-11,Thiago Rezende,Conferido,Digital
11006,Contrato,Compra Administrativa,2026-01-13,Nicolas Braga,Arquivado,Administrativo
11007,Pedido De Compra,Documento Cliente,2026-01-15,Marcelo Pinto,Conferido,Financeiro
11008,Contrato,Prestação De Contas,2026-01-17,Isabela Ramos,Conferido,Digital
11009,Contrato,Documento Fornecedor,2026-01-19,Diego Fernandes,Conferido,Financeiro
11010,Pedido De Compra,Processo Interno,2026-01-21,Diego Fernandes,Arquivado,Rh
11011,Pedido De Compra,Documento Fornecedor,2026-01-23,William Araujo,Arquivado,Administrativo
11012,Documento Cadastral,Processo Interno,2026-01-25,Daniel Almeida,Pendente,Administrativo
11013,Documento Cadastral,Prestação De Contas,2026-01-27,Camila Oliveira Santos,Pendente,Rh
11014,Recibo,Documento Cliente,2026-01-29,Marcelo Pinto,Conferido,Administrativo
11015,Relatorio,Compra Administrativa,2026-01-31,Taina Lopes,Arquivado,Compras
11016,Relatorio,Prestação De Contas,2026-02-02,Ingrid Souza,Conferido,Financeiro
11017,Recibo,Documento Fornecedor,2026-02-04,Carlos Eduardo,Conferido,Digital
11018,Contrato,Compra Administrativa,2026-02-06,Nicole Martins,Recebido,Rh
11019,Contrato,Documento Cliente,2026-02-08,Samuel Rocha,Arquivado,Compras
11020,Nota Fiscal,Prestação De Contas,2026-02-10,Matheus Pires,Pendente,Digital
11021,Nota Fiscal,Compra Administrativa,2026-02-12,Carlos Eduardo,Conferido,Digital
11022,Relatorio,Prestação De Contas,2026-02-14,Debora Martins,Recebido,Rh
11023,Recibo,Prestação De Contas,2026-02-16,Eduardo Martins,Arquivado,Compras
11024,Comprovante,Documento Cliente,2026-02-18,Karen Freitas,Recebido,Digital
11025,Documento Cadastral,Processo Interno,2026-02-20,Nicole Martins,Pendente,Digital
11026,Comprovante,Compra Administrativa,2026-02-22,Valeria Campos,Arquivado,Compras
11027,Recibo,Documento Cliente,2026-02-24,Taina Lopes,Conferido,Administrativo
11028,Nota Fiscal,Prestação De Contas,2026-02-26,Taina Lopes,Conferido,Digital
11029,Relatorio,Documento Cliente,2026-02-28,Wesley Martins,Pendente,Financeiro
11030,Relatorio,Processo Interno,2026-03-02,Paulo Cesar,Arquivado,Compras
11031,Nota Fiscal,Compra Administrativa,2026-03-04,Fernanda Souza,Conferido,Digital
11032,Comprovante,Processo Interno,2026-03-06,Priscila Monteiro,Arquivado,Rh
11033,Boleto,Documento Fornecedor,2026-03-08,Taina Lopes,Recebido,Financeiro
11034,Boleto,Compra Administrativa,2026-03-10,Juliana Barbosa,Conferido,Digital
11035,Nota Fiscal,Processo Interno,2026-03-12,Thiago Rezende,Pendente,Financeiro
11036,Boleto,Prestação De Contas,2026-03-14,Gabriel Rodrigues,Arquivado,Financeiro
11037,Pedido De Compra,Compra Administrativa,2026-03-16,Sandra Batista,Recebido,Administrativo
11038,Recibo,Compra Administrativa,2026-03-18,Rodrigo Tavares,Arquivado,Financeiro
11039,Recibo,Documento Cliente,2026-03-20,Aline Pereira,Conferido,Administrativo
11040,Nota Fiscal,Prestação De Contas,2026-03-22,Vinicius Castro,Conferido,Compras
11041,Contrato,Documento Fornecedor,2026-03-24,Camila Oliveira Santos,Recebido,Administrativo
11042,Documento Cadastral,Processo Interno,2026-03-26,Larissa Neves,Arquivado,Rh
11043,Comprovante,Documento Cliente,2026-03-28,Beatriz Martins,Recebido,Digital
11044,Nota Fiscal,Processo Interno,2026-03-30,Gisele Moraes,Conferido,Compras
11045,Boleto,Documento Fornecedor,2026-04-01,Daniel Almeida,Conferido,Compras
11046,Comprovante,Documento Fornecedor,2026-04-03,Henrique Dias,Arquivado,Rh
11047,Contrato,Compra Administrativa,2026-04-05,Mariana Ribeiro,Pendente,Administrativo
11048,Boleto,Documento Fornecedor,2026-04-07,Rodrigo Tavares,Arquivado,Digital
11049,Relatorio,Processo Interno,2026-04-09,Larissa Neves,Conferido,Administrativo
11050,Documento Cadastral,Prestação De Contas,2026-04-11,Nicolas Braga,Pendente,Financeiro
11051,Pedido De Compra,Prestação De Contas,2026-04-13,Gisele Moraes,Conferido,Administrativo
11052,Boleto,Compra Administrativa,2026-04-15,Valeria Campos,Arquivado,Compras
11053,Pedido De Compra,Processo Interno,2026-04-17,Eduardo Martins,Arquivado,Digital
11054,Comprovante,Processo Interno,2026-04-19,Natalia Gomes,Recebido,Administrativo
11055,Pedido De Compra,Documento Fornecedor,2026-04-21,Carlos Eduardo,Pendente,Digital
11056,Comprovante,Processo Interno,2026-04-23,Vitor Hugo,Recebido,Digital
11057,Comprovante,Documento Cliente,2026-04-25,Jonas Farias,Conferido,Financeiro
11058,Comprovante,Documento Fornecedor,2026-04-27,Joao Pedro,Conferido,Financeiro
